Department,Semester,Subject,Assessment Stage,Attendance,SPI,Study Hours,Backlogs,Mid1,Mid2,Expected Grade,Pass,Performance Category
Mechanical Engineering,8,Industrial Engineering,After Mid-2,81.9,7.81,19.0,0,9.8,16.1,AB,1,Excellent
Mechanical Engineering,8,Project-2,After Mid-2,84.8,6.49,18.7,0,5.9,8.0,BC,1,Good
Information Technology,3,Data Structures,After Mid-1,79.8,6.41,20.9,0,5.1,,BC,1,Good
Information Technology,3,Digital Electronics,After Mid-2,81.7,6.72,21.1,0,7.1,15.1,BB,1,Very Good
Electronics & Communication,3,Signals & Systems,After Mid-1,79.1,8.17,24.7,0,5.5,,BB,1,Very Good
Information Technology,2,English,After Mid-1,100.0,8.12,24.8,0,9.9,,AA,1,Excellent
Information Technology,1,Basic Electrical Engineering,Before Mid-1,64.1,4.66,18.5,3,,,FF,0,At Risk
Information Technology,1,Basic Electrical Engineering,After Mid-2,90.7,6.88,20.3,0,6.1,13.5,BB,1,Very Good
Computer Engineering,7,Project-1,After Mid-1,80.8,7.57,23.9,0,8.6,,AB,1,Excellent
Computer Engineering,3,Probability & Statistics,Before Mid-1,74.3,5.31,17.5,1,,,CC,1,Average
Electrical Engineering,3,Electrical Circuit Analysis,After Mid-2,75.7,6.05,22.5,2,5.1,11.3,CC,1,Average
Mechanical Engineering,5,Internal Combustion Engines,After Mid-1,85.3,6.76,16.1,0,5.7,,BB,1,Very Good
Information Technology,3,Digital Electronics,Before Mid-1,76.3,6.23,20.8,0,,,BC,1,Good
Computer Engineering,3,Database Management Systems,Before Mid-1,73.3,4.61,16.4,0,,,BC,1,Good
Electrical Engineering,4,Electromagnetic Field Theory,After Mid-2,81.4,4.0,22.4,0,4.8,7.8,CC,1,Average
Computer Engineering,8,Internet of Things,After Mid-1,100.0,8.93,22.6,0,8.7,,AA,1,Excellent
Mechanical Engineering,6,Computer Aided Design (CAD),After Mid-2,72.9,5.67,21.6,0,6.0,12.8,BC,1,Good
Mechanical Engineering,8,Project-2,Before Mid-1,77.1,6.08,22.2,2,,,CC,1,Average
Computer Engineering,1,Physics,After Mid-2,87.2,7.18,21.3,0,6.7,13.9,BB,1,Very Good
Electrical Engineering,4,Digital Electronics,After Mid-2,95.1,7.9,24.2,0,8.5,17.2,AB,1,Excellent
Mechanical Engineering,6,Computer Aided Design (CAD),Before Mid-1,69.1,6.91,21.7,0,,,BB,1,Very Good
Information Technology,2,English,After Mid-2,91.3,8.35,27.2,0,10.0,18.3,AA,1,Excellent
Electrical Engineering,7,Project-1,After Mid-2,86.3,8.24,28.4,0,8.3,16.5,AA,1,Excellent
Information Technology,6,Cyber Security & Laws,After Mid-1,93.9,9.02,19.6,0,8.9,,AA,1,Excellent
Mechanical Engineering,6,Operations Research,After Mid-2,86.5,6.51,24.0,0,6.1,12.9,BB,1,Very Good
Information Technology,4,Operating System Concepts,After Mid-2,79.9,5.95,19.3,2,3.7,7.8,CD,1,Average
Information Technology,1,Environmental Sciences,After Mid-2,77.3,4.76,11.0,2,4.1,5.8,DD,1,At Risk
Computer Engineering,2,Basic Electronics,After Mid-2,85.8,7.4,18.2,0,5.8,10.8,BB,1,Very Good
Electrical Engineering,6,Electrical Switchgear & Protection,Before Mid-1,85.4,6.56,13.5,1,,,BC,1,Good
Civil Engineering,3,Building Construction & Materials,After Mid-1,82.4,6.1,14.8,1,4.3,,CC,1,Average
Information Technology,6,Web Technology,After Mid-2,91.0,6.1,18.3,0,5.8,13.9,BB,1,Very Good
Civil Engineering,4,Concrete Technology,After Mid-1,96.1,9.88,33.5,0,9.0,,AA,1,Excellent
Mechanical Engineering,4,Fluid Mechanics & Hydraulic Machines,Before Mid-1,95.3,6.79,20.9,0,,,BC,1,Good
Computer Engineering,5,Computer Networks,Before Mid-1,88.7,7.1,28.4,0,,,AB,1,Excellent
Mechanical Engineering,3,Manufacturing Processes-1,After Mid-1,83.0,9.16,33.6,0,6.8,,AB,1,Excellent
Mechanical Engineering,1,Mathematics-1,Before Mid-1,73.9,5.95,17.6,1,,,CC,1,Average
Mechanical Engineering,6,Computer Aided Design (CAD),After Mid-2,77.7,6.29,23.2,2,6.8,14.1,BC,1,Good
Electronics & Communication,1,Mathematics-1,Before Mid-1,91.6,8.07,23.7,0,,,AB,1,Excellent
Electronics & Communication,8,Project-2,After Mid-1,79.6,8.09,20.8,0,8.3,,AB,1,Excellent
Mechanical Engineering,4,Fluid Mechanics & Hydraulic Machines,Before Mid-1,84.6,7.61,22.0,0,,,AB,1,Excellent
Information Technology,4,Object Oriented Programming - Java,After Mid-2,79.7,6.19,12.3,2,7.0,10.8,CC,1,Average
Mechanical Engineering,1,Physics,After Mid-2,84.5,7.22,21.0,0,7.6,15.5,BB,1,Very Good
